Iter# 	    Gauss	    Cauchy	    Tanh	    Laplace	    Tri	    Sinc
0	0.000353732	0.0151569	0.00230522	0.00376778	0.000716524	0.00325112
2000	0.000181625	0.000831	0.000727632	0.000624744	0.000268124	0.00306109
4000	0.000177644	0.000797596	0.000665756	0.000598769	0.000251934	0.00303409
6000	0.000175414	0.000779604	0.00063316	0.000584824	0.000243562	0.00301704
8000	0.000173874	0.000767451	0.000611487	0.000575423	0.000238066	0.00300434
10000	0.000172702	0.000758348	0.000595454	0.000568393	0.000234039	0.00299414
12000	0.000171759	0.000751109	0.000582834	0.000562809	0.000230896	0.00298555
14000	0.000170972	0.000745121	0.000572487	0.000558194	0.000228336	0.00297812
16000	0.000170297	0.000740029	0.000563756	0.000554273	0.000226189	0.00297156
18000	0.000169708	0.000735609	0.000556227	0.000550871	0.000224347	0.00296566
20000	0.000169185	0.000731709	0.000549627	0.000547873	0.000222741	0.0029603
22000	0.000168715	0.000728225	0.000543763	0.000545195	0.00022132	0.00295538
24000	0.000168289	0.000725079	0.000538496	0.00054278	0.000220049	0.00295084
26000	0.000167899	0.000722215	0.000533723	0.000540581	0.000218901	0.0029466
28000	0.000167541	0.000719587	0.000529364	0.000538565	0.000217857	0.00294264
30000	0.000167208	0.000717162	0.000525357	0.000536705	0.0002169	0.00293892
32000	0.000166899	0.000714911	0.000521653	0.00053498	0.000216018	0.0029354
34000	0.00016661	0.000712812	0.000518211	0.000533372	0.000215202	0.00293207
36000	0.000166338	0.000710847	0.000515	0.000531867	0.000214442	0.0029289
38000	0.000166082	0.000709	0.000511992	0.000530453	0.000213732	0.00292588
