 x 	 f(x) 
0	0.0032852858
0.003	0.00227647388
0.006	0.0062174483
0.009	0.00793120247
0.012	0.0128061366
0.015	0.0136252347
0.018	0.0185932779
0.021	0.0186202315
0.024	0.0248896953
0.027	0.0282610435
0.03	0.0294841155
0.033	0.0339262304
0.036	0.035422484
0.039	0.0377499143
0.042	0.0415878126
0.045	0.0450180055
0.048	0.0495450247
0.051	0.0506083956
0.054	0.0540122928
0.057	0.0568801863
0.06	0.0616262153
0.063	0.0629753274
0.066	0.0667829118
0.069	0.0696631402
0.072	0.070452726
0.075	0.0742075502
0.078	0.0776567629
0.081	0.081628132
0.084	0.0848619012
0.087	0.0872953856
0.09	0.089431061
0.093	0.092382745
0.096	0.09568873
0.099	0.100208133
0.102	0.102116246
0.105	0.103929087
0.108	0.109163111
0.111	0.109672955
0.114	0.114084915
0.117	0.116826705
0.12	0.120145907
0.123	0.121604441
0.126	0.125301879
0.129	0.128522094
0.132	0.131642191
0.135	0.133998978
0.138	0.13612042
0.141	0.141114854
0.144	0.14422698
0.147	0.145074887
0.15	0.14834608
0.153	0.153091301
0.156	0.153625616
0.159	0.158980179
0.162	0.160173002
0.165	0.164249089
0.168	0.168050704
0.171	0.170697938
0.174	0.17356748
0.177	0.176636695
0.18	0.178692654
0.183	0.179054103
0.186	0.184257592
0.189	0.187899482
0.192	0.190061119
0.195	0.193483824
0.198	0.195894851
0.201	0.198598561
0.204	0.203295007
0.207	0.206107972
0.21	0.209446933
0.213	0.212039908
0.216	0.214170132
0.219	0.215439211
0.222	0.218525286
0.225	0.22430872
0.228	0.226661632
0.231	0.227911577
0.234	0.230688583
0.237	0.235106716
0.24	0.236050599
0.243	0.241013262
0.246	0.245702124
0.249	0.247254232
0.252	0.249063616
0.255	0.253762675
0.258	0.256291718
0.261	0.25652236
0.264	0.262039508
0.267	0.263167134
0.27	0.265346118
0.273	0.270213644
0.276	0.272709703
0.279	0.276133356
0.282	0.279345308
0.285	0.279931656
0.288	0.284451201
0.291	0.286183054
0.294	0.289570737
0.297	0.293232976
0.3	0.295264876
0.303	0.298539188
0.306	0.301108104
0.309	0.302996312
0.312	0.305135814
0.315	0.310565626
0.318	0.312504854
0.321	0.315402249
0.324	0.318181158
0.327	0.321970924
0.33	0.323557137
0.333	0.328017501
0.336	0.328893593
0.339	0.33217197
0.342	0.33692658
0.345	0.338610227
0.348	0.341726093
0.351	0.345097308
0.354	0.345000397
0.357	0.347952939
0.36	0.351807576
0.363	0.355510043
0.366	0.358223106
0.369	0.360706859
0.372	0.362764311
0.375	0.370126527
0.378	0.368960642
0.381	0.370535138
0.384	0.374262784
0.387	0.378331495
0.39	0.380582102
0.393	0.384853167
