 x 	V[Y|X = x] 
0	0.0239085
0.003	0.026495
0.006	0.0290806
0.009	0.0316652
0.012	0.0342486
0.015	0.036831
0.018	0.0394121
0.021	0.0419921
0.024	0.0445708
0.027	0.0471482
0.03	0.0497243
0.033	0.0522989
0.036	0.0548721
0.039	0.0574439
0.042	0.060014
0.045	0.0625827
0.048	0.0651496
0.051	0.0677149
0.054	0.0702785
0.057	0.0728403
0.06	0.0754002
0.063	0.0779583
0.066	0.0805145
0.069	0.0830687
0.072	0.0856209
0.075	0.088171
0.078	0.090719
0.081	0.0932648
0.084	0.0958084
0.087	0.0983497
0.09	0.100889
0.093	0.103425
0.096	0.105959
0.099	0.108491
0.102	0.11102
0.105	0.113547
0.108	0.116071
0.111	0.118592
0.114	0.121111
0.117	0.123626
0.12	0.126139
0.123	0.128649
0.126	0.131156
0.129	0.13366
0.132	0.136161
0.135	0.138659
0.138	0.141153
0.141	0.143645
0.144	0.146133
0.147	0.148618
0.15	0.151099
0.153	0.153577
0.156	0.156051
0.159	0.158522
0.162	0.160989
0.165	0.163452
0.168	0.165912
0.171	0.168368
0.174	0.17082
0.177	0.173268
0.18	0.175712
0.183	0.178152
0.186	0.180588
0.189	0.18302
0.192	0.185447
0.195	0.187871
0.198	0.19029
0.201	0.192704
0.204	0.195114
0.207	0.19752
0.21	0.199921
0.213	0.202317
0.216	0.204709
0.219	0.207095
0.222	0.209477
0.225	0.211854
0.228	0.214226
0.231	0.216593
0.234	0.218955
0.237	0.221312
0.24	0.223664
0.243	0.22601
0.246	0.228351
0.249	0.230686
0.252	0.233017
0.255	0.235341
0.258	0.23766
0.261	0.239973
0.264	0.242281
0.267	0.244582
0.27	0.246878
0.273	0.249168
0.276	0.251452
0.279	0.253729
0.282	0.256001
0.285	0.258266
0.288	0.260525
0.291	0.262778
0.294	0.265025
0.297	0.267264
0.3	0.269498
0.303	0.271724
0.306	0.273944
0.309	0.276158
0.312	0.278364
0.315	0.280564
0.318	0.282756
0.321	0.284941
0.324	0.28712
0.327	0.289291
0.33	0.291455
0.333	0.293612
0.336	0.295761
0.339	0.297902
0.342	0.300037
0.345	0.302163
0.348	0.304282
0.351	0.306393
0.354	0.308497
0.357	0.310592
0.36	0.312679
0.363	0.314759
0.366	0.31683
0.369	0.318893
0.372	0.320948
0.375	0.322994
0.378	0.325033
0.381	0.327062
0.384	0.329083
0.387	0.331095
0.39	0.333099
0.393	0.335094
0.396	0.33708
0.399	0.339057
0.402	0.341025
0.405	0.342984
0.408	0.344934
0.411	0.346875
0.414	0.348806
0.417	0.350728
0.42	0.35264
0.423	0.354543
0.426	0.356436
0.429	0.35832
0.432	0.360194
0.435	0.362058
0.438	0.363912
0.441	0.365756
0.444	0.36759
0.447	0.369414
0.45	0.371227
0.453	0.37303
0.456	0.374823
0.459	0.376606
0.462	0.378378
0.465	0.380139
0.468	0.38189
0.471	0.38363
0.474	0.385359
0.477	0.387077
0.48	0.388784
0.483	0.39048
0.486	0.392165
0.489	0.393838
0.492	0.395501
0.495	0.397152
0.498	0.398791
0.501	0.400419
0.504	0.402035
0.507	0.40364
0.51	0.405233
0.513	0.406814
0.516	0.408383
0.519	0.40994
0.522	0.411485
0.525	0.413018
0.528	0.414538
0.531	0.416047
0.534	0.417543
0.537	0.419026
0.54	0.420497
0.543	0.421955
0.546	0.423401
0.549	0.424833
0.552	0.426253
0.555	0.42766
0.558	0.429054
0.561	0.430435
0.564	0.431803
0.567	0.433157
0.57	0.434498
0.573	0.435826
0.576	0.43714
0.579	0.438441
0.582	0.439728
0.585	0.441001
0.588	0.442261
0.591	0.443507
0.594	0.444738
0.597	0.445956
0.6	0.44716
0.603	0.44835
0.606	0.449525
0.609	0.450686
0.612	0.451833
0.615	0.452965
0.618	0.454083
0.621	0.455186
0.624	0.456274
0.627	0.457348
0.63	0.458407
0.633	0.459451
0.636	0.46048
0.639	0.461494
0.642	0.462493
0.645	0.463476
0.648	0.464445
0.651	0.465398
0.654	0.466336
0.657	0.467258
0.66	0.468165
0.663	0.469056
0.666	0.469931
0.669	0.470791
0.672	0.471635
0.675	0.472463
0.678	0.473275
0.681	0.474071
0.684	0.474851
0.687	0.475614
0.69	0.476362
0.693	0.477093
0.696	0.477808
0.699	0.478506
0.702	0.479188
0.705	0.479854
0.708	0.480503
0.711	0.481135
0.714	0.48175
0.717	0.482349
0.72	0.482931
0.723	0.483495
0.726	0.484043
0.729	0.484574
0.732	0.485087
0.735	0.485584
0.738	0.486063
0.741	0.486525
0.744	0.486969
0.747	0.487397
0.75	0.487806
0.753	0.488198
0.756	0.488573
0.759	0.48893
0.762	0.489269
0.765	0.48959
0.768	0.489894
0.771	0.49018
0.774	0.490447
0.777	0.490697
0.78	0.490929
0.783	0.491143
0.786	0.491339
0.789	0.491516
0.792	0.491675
0.795	0.491816
0.798	0.491939
0.801	0.492043
0.804	0.492129
0.807	0.492196
0.81	0.492245
0.813	0.492276
0.816	0.492287
0.819	0.49228
0.822	0.492255
