 x 	V[Y|X = x] 
0	0.110591
0.003	0.111957
0.006	0.113297
0.009	0.114611
0.012	0.115898
0.015	0.117159
0.018	0.118395
0.021	0.119604
0.024	0.120787
0.027	0.121944
0.03	0.123074
0.033	0.124179
0.036	0.125257
0.039	0.126309
0.042	0.127335
0.045	0.128334
0.048	0.129308
0.051	0.130255
0.054	0.131176
0.057	0.132071
0.06	0.132939
0.063	0.133781
0.066	0.134597
0.069	0.135387
0.072	0.13615
0.075	0.136887
0.078	0.137598
0.081	0.138282
0.084	0.13894
0.087	0.139572
0.09	0.140178
0.093	0.140757
0.096	0.14131
0.099	0.141836
0.102	0.142336
0.105	0.14281
0.108	0.143257
0.111	0.143678
0.114	0.144072
0.117	0.14444
0.12	0.144782
0.123	0.145097
0.126	0.145386
0.129	0.145648
0.132	0.145884
0.135	0.146093
0.138	0.146276
0.141	0.146433
0.144	0.146563
0.147	0.146666
0.15	0.146743
0.153	0.146793
0.156	0.146817
0.159	0.146815
0.162	0.146786
0.165	0.14673
0.168	0.146648
0.171	0.146539
0.174	0.146404
0.177	0.146242
0.18	0.146053
0.183	0.145838
0.186	0.145596
0.189	0.145328
0.192	0.145033
0.195	0.144711
0.198	0.144363
0.201	0.143988
0.204	0.143587
0.207	0.143159
0.21	0.142704
0.213	0.142222
0.216	0.141714
0.219	0.141179
0.222	0.140617
0.225	0.140029
0.228	0.139414
0.231	0.138772
0.234	0.138104
0.237	0.137408
0.24	0.136686
0.243	0.135937
0.246	0.135162
0.249	0.13436
0.252	0.13353
0.255	0.132675
0.258	0.131792
0.261	0.130882
0.264	0.129946
0.267	0.128983
0.27	0.127993
0.273	0.126976
0.276	0.125932
0.279	0.124861
0.282	0.123764
0.285	0.12264
0.288	0.121488
0.291	0.12031
0.294	0.119105
0.297	0.117873
0.3	0.116614
0.303	0.115328
0.306	0.114016
0.309	0.112676
0.312	0.111309
0.315	0.110234
0.318	0.110575
0.321	0.111204
0.324	0.11182
0.327	0.112425
0.33	0.113016
0.333	0.113596
0.336	0.114163
0.339	0.114718
0.342	0.115261
0.345	0.115791
0.348	0.116309
0.351	0.116815
0.354	0.117309
0.357	0.11779
0.36	0.118259
0.363	0.118716
0.366	0.119161
0.369	0.119593
0.372	0.120013
0.375	0.120421
0.378	0.120817
0.381	0.121201
0.384	0.121572
0.387	0.121931
0.39	0.122278
0.393	0.122613
0.396	0.122936
0.399	0.123246
0.402	0.123544
0.405	0.123831
0.408	0.124105
0.411	0.124366
0.414	0.124616
0.417	0.124854
0.42	0.125079
0.423	0.125293
0.426	0.125494
0.429	0.125683
0.432	0.12586
0.435	0.126025
0.438	0.126178
0.441	0.126319
0.444	0.126447
0.447	0.126564
0.45	0.126669
0.453	0.126761
0.456	0.126842
0.459	0.12691
0.462	0.126967
0.465	0.127011
0.468	0.127043
0.471	0.127064
0.474	0.127072
0.477	0.127068
0.48	0.127053
0.483	0.127025
