 x  	 F(x)  
0	0.0505618
0.003	0.0517144
0.006	0.0528862
0.009	0.0540774
0.012	0.0552883
0.015	0.056519
0.018	0.0577699
0.021	0.0590411
0.024	0.0603328
0.027	0.0616453
0.03	0.0629789
0.033	0.0643337
0.036	0.06571
0.039	0.067108
0.042	0.0685279
0.045	0.0699699
0.048	0.0714342
0.051	0.0729212
0.054	0.0744308
0.057	0.0759635
0.06	0.0775193
0.063	0.0790986
0.066	0.0807014
0.069	0.0823279
0.072	0.0839784
0.075	0.0856531
0.078	0.0873521
0.081	0.0890755
0.084	0.0908236
0.087	0.0925966
0.09	0.0943945
0.093	0.0962176
0.096	0.0980659
0.099	0.0999397
0.102	0.101839
0.105	0.103764
0.108	0.105715
0.111	0.107692
0.114	0.109694
0.117	0.111723
0.12	0.113778
0.123	0.11586
0.126	0.117967
0.129	0.120101
0.132	0.122262
0.135	0.124449
0.138	0.126662
0.141	0.128903
0.144	0.131169
0.147	0.133462
0.15	0.135782
0.153	0.138129
0.156	0.140502
0.159	0.142901
0.162	0.145327
0.165	0.147779
0.168	0.150257
0.171	0.152762
0.174	0.155292
0.177	0.157849
0.18	0.160431
0.183	0.163039
0.186	0.165673
0.189	0.168332
0.192	0.171016
0.195	0.173725
0.198	0.176459
0.201	0.179217
0.204	0.182
0.207	0.184806
0.21	0.187637
0.213	0.190491
0.216	0.193368
0.219	0.196268
0.222	0.199191
0.225	0.202136
0.228	0.205103
0.231	0.208091
0.234	0.211101
0.237	0.214132
0.24	0.217182
0.243	0.220253
0.246	0.223344
0.249	0.226453
0.252	0.229581
0.255	0.232727
0.258	0.235891
0.261	0.239073
0.264	0.242271
0.267	0.245485
0.27	0.248715
0.273	0.25196
0.276	0.25522
0.279	0.258493
0.282	0.261781
0.285	0.265081
0.288	0.268393
0.291	0.271718
0.294	0.275053
0.297	0.278399
0.3	0.281755
0.303	0.285121
0.306	0.288495
0.309	0.291877
0.312	0.295267
0.315	0.298664
0.318	0.302066
0.321	0.305475
0.324	0.308888
0.327	0.312306
0.33	0.315727
0.333	0.319151
0.336	0.322578
0.339	0.326006
0.342	0.329435
0.345	0.332865
0.348	0.336294
0.351	0.339723
0.354	0.34315
0.357	0.346574
0.36	0.349997
0.363	0.353415
0.366	0.35683
0.369	0.36024
0.372	0.363645
0.375	0.367043
0.378	0.370436
0.381	0.373821
0.384	0.377199
0.387	0.380569
0.39	0.38393
0.393	0.387281
0.396	0.390623
0.399	0.393954
0.402	0.397275
0.405	0.400584
0.408	0.403882
0.411	0.407166
0.414	0.410439
0.417	0.413698
0.42	0.416943
0.423	0.420174
0.426	0.42339
0.429	0.426591
0.432	0.429778
0.435	0.432948
0.438	0.436102
0.441	0.43924
0.444	0.442361
0.447	0.445465
0.45	0.448551
0.453	0.45162
0.456	0.454671
0.459	0.457703
0.462	0.460717
0.465	0.463713
0.468	0.466689
0.471	0.469646
0.474	0.472584
0.477	0.475503
0.48	0.478402
0.483	0.481281
0.486	0.48414
0.489	0.48698
0.492	0.489799
0.495	0.492598
0.498	0.495377
0.501	0.498135
0.504	0.500874
0.507	0.503591
0.51	0.506289
0.513	0.508966
0.516	0.511623
0.519	0.514259
0.522	0.516876
0.525	0.519472
0.528	0.522047
0.531	0.524603
0.534	0.527139
0.537	0.529655
0.54	0.532151
0.543	0.534628
0.546	0.537085
0.549	0.539523
0.552	0.541941
0.555	0.544341
0.558	0.546721
0.561	0.549083
0.564	0.551427
0.567	0.553752
0.57	0.556059
0.573	0.558349
0.576	0.56062
0.579	0.562875
0.582	0.565112
0.585	0.567333
0.588	0.569537
0.591	0.571724
0.594	0.573895
0.597	0.576051
0.6	0.578191
0.603	0.580316
0.606	0.582426
0.609	0.584522
0.612	0.586603
0.615	0.58867
0.618	0.590723
0.621	0.592763
0.624	0.59479
0.627	0.596804
0.63	0.598806
0.633	0.600796
0.636	0.602774
0.639	0.60474
0.642	0.606696
0.645	0.608641
0.648	0.610575
0.651	0.612499
0.654	0.614414
0.657	0.61632
0.66	0.618216
0.663	0.620104
0.666	0.621983
0.669	0.623855
0.672	0.625718
0.675	0.627575
0.678	0.629425
0.681	0.631268
0.684	0.633105
0.687	0.634936
0.69	0.636761
0.693	0.638581
0.696	0.640397
0.699	0.642208
0.702	0.644014
0.705	0.645817
0.708	0.647617
0.711	0.649413
0.714	0.651206
0.717	0.652997
0.72	0.654785
0.723	0.656572
0.726	0.658357
0.729	0.660141
0.732	0.661923
0.735	0.663705
0.738	0.665487
0.741	0.667269
0.744	0.66905
0.747	0.670832
0.75	0.672615
0.753	0.674399
0.756	0.676184
0.759	0.677971
0.762	0.679759
0.765	0.68155
0.768	0.683342
0.771	0.685137
0.774	0.686935
0.777	0.688736
0.78	0.69054
0.783	0.692347
0.786	0.694158
0.789	0.695972
0.792	0.697791
0.795	0.699613
0.798	0.70144
0.801	0.703271
0.804	0.705107
0.807	0.706947
0.81	0.708792
0.813	0.710643
0.816	0.712498
0.819	0.714358
0.822	0.716224
0.825	0.718095
0.828	0.719972
0.831	0.721854
0.834	0.723742
0.837	0.725635
0.84	0.727535
0.843	0.729439
0.846	0.73135
0.849	0.733266
0.852	0.735189
0.855	0.737116
0.858	0.73905
0.861	0.74099
0.864	0.742935
0.867	0.744886
0.87	0.746842
0.873	0.748804
0.876	0.750771
0.879	0.752744
0.882	0.754722
0.885	0.756706
0.888	0.758694
0.891	0.760687
0.894	0.762686
0.897	0.764689
0.9	0.766696
0.903	0.768708
0.906	0.770724
0.909	0.772744
0.912	0.774768
0.915	0.776796
0.918	0.778828
0.921	0.780862
0.924	0.7829
0.927	0.78494
0.93	0.786983
0.933	0.789029
0.936	0.791077
0.939	0.793126
0.942	0.795177
0.945	0.79723
0.948	0.799283
0.951	0.801338
0.954	0.803393
0.957	0.805448
0.96	0.807503
0.963	0.809558
0.966	0.811612
0.969	0.813665
0.972	0.815717
0.975	0.817768
0.978	0.819816
0.981	0.821863
0.984	0.823906
0.987	0.825947
0.99	0.827985
0.993	0.830019
0.996	0.83205
0.999	0.834076
1.002	0.836098
1.005	0.838115
1.008	0.840127
1.011	0.842133
1.014	0.844133
1.017	0.846128
1.02	0.848116
1.023	0.850097
1.026	0.852071
1.029	0.854037
1.032	0.855996
1.035	0.857947
1.038	0.859889
1.041	0.861823
1.044	0.863747
1.047	0.865663
1.05	0.867568
1.053	0.869464
1.056	0.87135
1.059	0.873225
1.062	0.875089
1.065	0.876942
1.068	0.878785
1.071	0.880615
1.074	0.882434
1.077	0.88424
1.08	0.886035
1.083	0.887816
1.086	0.889585
1.089	0.891341
1.092	0.893084
1.095	0.894813
1.098	0.896529
1.101	0.89823
1.104	0.899918
1.107	0.901591
1.11	0.90325
1.113	0.904895
1.116	0.906525
1.119	0.908139
1.122	0.909739
1.125	0.911324
1.128	0.912893
1.131	0.914447
1.134	0.915985
1.137	0.917507
1.14	0.919014
1.143	0.920505
1.146	0.92198
1.149	0.923438
1.152	0.924881
1.155	0.926307
1.158	0.927717
1.161	0.929111
1.164	0.930488
1.167	0.931849
1.17	0.933193
1.173	0.934521
1.176	0.935832
1.179	0.937127
1.182	0.938405
1.185	0.939667
1.188	0.940912
1.191	0.94214
1.194	0.943352
1.197	0.944547
1.2	0.945725
1.203	0.946887
1.206	0.948033
1.209	0.949162
1.212	0.950274
1.215	0.951371
1.218	0.95245
1.221	0.953514
1.224	0.954561
1.227	0.955592
1.23	0.956607
1.233	0.957606
1.236	0.958589
1.239	0.959556
1.242	0.960507
1.245	0.961442
1.248	0.962362
1.251	0.963266
1.254	0.964154
1.257	0.965027
1.26	0.965884
1.263	0.966727
1.266	0.967554
1.269	0.968366
1.272	0.969163
1.275	0.969945
1.278	0.970712
1.281	0.971465
1.284	0.972202
1.287	0.972926
1.29	0.973635
1.293	0.97433
1.296	0.975011
1.299	0.975677
1.302	0.97633
1.305	0.976969
1.308	0.977594
1.311	0.978205
1.314	0.978803
1.317	0.979387
1.32	0.979958
1.323	0.980516
1.326	0.981061
1.329	0.981593
1.332	0.982112
1.335	0.982618
1.338	0.983112
1.341	0.983593
1.344	0.984062
1.347	0.984518
1.35	0.984962
1.353	0.985394
1.356	0.985814
1.359	0.986222
1.362	0.986618
1.365	0.987003
1.368	0.987376
1.371	0.987737
1.374	0.988087
1.377	0.988426
1.38	0.988754
1.383	0.98907
1.386	0.989376
1.389	0.98967
1.392	0.989954
1.395	0.990228
1.398	0.99049
1.401	0.990742
1.404	0.990984
1.407	0.991215
1.41	0.991437
1.413	0.991648
1.416	0.991849
1.419	0.99204
1.422	0.992221
1.425	0.992392
1.428	0.992554
1.431	0.992706
1.434	0.992849
1.437	0.992982
1.44	0.993106
1.443	0.993221
1.446	0.993326
1.449	0.993422
1.452	0.99351
1.455	0.993588
1.458	0.993658
1.461	0.993718
1.464	0.99377
1.467	0.993814
1.47	0.993849
1.473	0.993875
1.476	0.993893
1.479	0.993903
1.482	0.993905
1.485	0.993898
1.488	0.993884
1.491	0.993861
1.494	0.993831
1.497	0.993792
1.5	0.993746
1.503	0.993692
1.506	0.993631
1.509	0.993562
1.512	0.993485
1.515	0.993401
1.518	0.99331
1.521	0.993211
1.524	0.993106
1.527	0.992993
1.53	0.992873
1.533	0.992746
1.536	0.992613
1.539	0.992472
1.542	0.992325
1.545	0.992171
1.548	0.99201
1.551	0.991843
1.554	0.99167
1.557	0.99149
1.56	0.991304
1.563	0.991112
1.566	0.990913
1.569	0.990709
1.572	0.990498
1.575	0.990282
1.578	0.990059
1.581	0.989831
1.584	0.989597
1.587	0.989358
1.59	0.989113
1.593	0.988862
1.596	0.988606
1.599	0.988345
1.602	0.988078
1.605	0.987807
1.608	0.98753
1.611	0.987248
1.614	0.986961
1.617	0.98667
1.62	0.986373
1.623	0.986072
1.626	0.985766
1.629	0.985455
1.632	0.98514
1.635	0.984821
1.638	0.984497
1.641	0.984168
1.644	0.983836
1.647	0.983499
1.65	0.983158
1.653	0.982813
1.656	0.982464
1.659	0.982112
1.662	0.981755
1.665	0.981394
1.668	0.98103
1.671	0.980662
1.674	0.980291
1.677	0.979916
1.68	0.979537
1.683	0.979155
1.686	0.97877
1.689	0.978381
1.692	0.977989
1.695	0.977593
1.698	0.977195
1.701	0.976793
1.704	0.976388
1.707	0.97598
1.71	0.975569
1.713	0.975155
1.716	0.974738
1.719	0.974318
1.722	0.973895
1.725	0.97347
1.728	0.973041
1.731	0.97261
1.734	0.972176
1.737	0.971739
1.74	0.971299
1.743	0.970857
1.746	0.970411
1.749	0.969963
1.752	0.969513
1.755	0.969059
1.758	0.968603
1.761	0.968144
1.764	0.967683
1.767	0.967218
1.77	0.966751
1.773	0.966282
1.776	0.965809
1.779	0.965334
1.782	0.964855
1.785	0.964374
1.788	0.96389
1.791	0.963404
1.794	0.962914
1.797	0.962421
1.8	0.961925
1.803	0.961427
1.806	0.960925
1.809	0.96042
1.812	0.959912
1.815	0.9594
1.818	0.958886
1.821	0.958368
1.824	0.957846
1.827	0.957321
1.83	0.956793
1.833	0.956261
1.836	0.955725
1.839	0.955185
1.842	0.954642
1.845	0.954095
1.848	0.953543
1.851	0.952988
1.854	0.952428
1.857	0.951864
1.86	0.951296
1.863	0.950723
1.866	0.950145
1.869	0.949563
1.872	0.948976
1.875	0.948384
1.878	0.947788
1.881	0.947186
1.884	0.946578
1.887	0.945966
1.89	0.945348
1.893	0.944724
1.896	0.944094
1.899	0.943459
1.902	0.942817
1.905	0.94217
1.908	0.941516
1.911	0.940856
1.914	0.940189
1.917	0.939516
1.92	0.938835
1.923	0.938148
1.926	0.937453
1.929	0.936751
1.932	0.936042
1.935	0.935325
1.938	0.934601
1.941	0.933868
1.944	0.933127
1.947	0.932379
1.95	0.931621
1.953	0.930855
1.956	0.930081
1.959	0.929297
1.962	0.928505
1.965	0.927703
1.968	0.926892
1.971	0.926071
1.974	0.92524
1.977	0.9244
1.98	0.923549
1.983	0.922688
1.986	0.921817
1.989	0.920935
1.992	0.920042
1.995	0.919139
1.998	0.918224
2.001	0.917297
2.004	0.916359
2.007	0.91541
2.01	0.914448
2.013	0.913475
2.016	0.912489
2.019	0.911491
2.022	0.91048
2.025	0.909456
2.028	0.90842
2.031	0.90737
2.034	0.906307
2.037	0.90523
2.04	0.90414
2.043	0.903036
2.046	0.901918
2.049	0.900786
2.052	0.899639
2.055	0.898478
2.058	0.897302
2.061	0.896111
2.064	0.894905
2.067	0.893685
2.07	0.892448
2.073	0.891197
2.076	0.889929
2.079	0.888646
2.082	0.887347
2.085	0.886032
2.088	0.8847
2.091	0.883352
2.094	0.881988
2.097	0.880607
2.1	0.87921
2.103	0.877795
2.106	0.876364
2.109	0.874915
2.112	0.873449
2.115	0.871966
2.118	0.870466
2.121	0.868948
2.124	0.867412
2.127	0.865859
2.13	0.864288
2.133	0.862699
2.136	0.861092
2.139	0.859468
2.142	0.857825
2.145	0.856164
2.148	0.854486
2.151	0.852789
2.154	0.851074
2.157	0.849341
2.16	0.847589
2.163	0.84582
2.166	0.844032
2.169	0.842226
2.172	0.840402
2.175	0.83856
2.178	0.8367
2.181	0.834821
2.184	0.832925
2.187	0.831011
2.19	0.829079
2.193	0.827129
2.196	0.825161
2.199	0.823176
2.202	0.821174
2.205	0.819153
2.208	0.817116
2.211	0.815061
2.214	0.81299
2.217	0.810901
2.22	0.808796
2.223	0.806674
2.226	0.804536
2.229	0.802381
2.232	0.800211
2.235	0.798024
2.238	0.795822
2.241	0.793605
2.244	0.791372
2.247	0.789124
2.25	0.786862
2.253	0.784585
2.256	0.782294
2.259	0.779989
2.262	0.777671
2.265	0.775338
2.268	0.772993
2.271	0.770635
2.274	0.768265
2.277	0.765882
2.28	0.763487
2.283	0.761081
2.286	0.758663
2.289	0.756235
2.292	0.753796
2.295	0.751347
2.298	0.748888
2.301	0.746419
2.304	0.743941
2.307	0.741455
2.31	0.73896
2.313	0.736457
2.316	0.733946
2.319	0.731428
2.322	0.728903
2.325	0.726371
2.328	0.723833
2.331	0.72129
2.334	0.718741
2.337	0.716187
2.34	0.713629
2.343	0.711066
2.346	0.7085
2.349	0.70593
2.352	0.703357
2.355	0.700781
2.358	0.698204
2.361	0.695624
2.364	0.693043
2.367	0.69046
2.37	0.687877
2.373	0.685294
2.376	0.68271
2.379	0.680127
2.382	0.677545
2.385	0.674964
2.388	0.672384
2.391	0.669806
2.394	0.66723
2.397	0.664656
2.4	0.662085
2.403	0.659518
2.406	0.656953
2.409	0.654393
2.412	0.651836
2.415	0.649284
2.418	0.646736
2.421	0.644193
2.424	0.641655
2.427	0.639123
2.43	0.636596
2.433	0.634075
2.436	0.631559
2.439	0.629051
2.442	0.626548
2.445	0.624053
2.448	0.621564
2.451	0.619082
2.454	0.616608
2.457	0.61414
2.46	0.611681
2.463	0.609229
2.466	0.606784
2.469	0.604348
2.472	0.60192
2.475	0.599499
2.478	0.597087
2.481	0.594683
2.484	0.592287
2.487	0.589899
2.49	0.58752
2.493	0.58515
2.496	0.582787
2.499	0.580433
2.502	0.578088
2.505	0.57575
2.508	0.573422
2.511	0.571101
2.514	0.568789
2.517	0.566484
2.52	0.564188
2.523	0.5619
2.526	0.55962
2.529	0.557348
2.532	0.555084
2.535	0.552827
2.538	0.550577
2.541	0.548335
2.544	0.546101
2.547	0.543873
2.55	0.541652
2.553	0.539438
2.556	0.53723
2.559	0.535029
2.562	0.532833
2.565	0.530644
2.568	0.528461
2.571	0.526283
2.574	0.52411
2.577	0.521942
2.58	0.519779
2.583	0.517621
2.586	0.515466
2.589	0.513316
2.592	0.51117
2.595	0.509027
2.598	0.506887
2.601	0.50475
2.604	0.502616
2.607	0.500484
2.61	0.498354
2.613	0.496226
2.616	0.494099
2.619	0.491974
2.622	0.489849
2.625	0.487724
2.628	0.4856
2.631	0.483475
2.634	0.48135
2.637	0.479224
2.64	0.477097
2.643	0.474969
2.646	0.472838
2.649	0.470705
2.652	0.46857
2.655	0.466431
2.658	0.46429
2.661	0.462145
2.664	0.459995
2.667	0.457842
2.67	0.455684
2.673	0.453521
2.676	0.451352
2.679	0.449178
2.682	0.446997
2.685	0.444811
2.688	0.442617
2.691	0.440417
2.694	0.438209
2.697	0.435993
2.7	0.433769
2.703	0.431536
2.706	0.429295
2.709	0.427045
2.712	0.424785
2.715	0.422515
2.718	0.420235
2.721	0.417945
2.724	0.415644
2.727	0.413332
2.73	0.411009
2.733	0.408674
2.736	0.406326
2.739	0.403967
2.742	0.401595
2.745	0.399211
2.748	0.396813
2.751	0.394401
2.754	0.391977
2.757	0.389538
2.76	0.387085
2.763	0.384618
2.766	0.382136
2.769	0.379639
2.772	0.377127
2.775	0.3746
2.778	0.372057
2.781	0.369498
2.784	0.366924
2.787	0.364334
2.79	0.361727
2.793	0.359104
2.796	0.356464
2.799	0.353808
2.802	0.351135
2.805	0.348445
2.808	0.345738
2.811	0.343014
2.814	0.340272
2.817	0.337513
2.82	0.334737
2.823	0.331943
2.826	0.329132
2.829	0.326303
2.832	0.323456
2.835	0.320592
2.838	0.317711
2.841	0.314811
2.844	0.311895
2.847	0.30896
2.85	0.306008
2.853	0.303039
2.856	0.300053
2.859	0.297049
2.862	0.294028
2.865	0.290989
2.868	0.287934
2.871	0.284862
2.874	0.281774
2.877	0.278669
2.88	0.275547
2.883	0.272409
2.886	0.269256
2.889	0.266086
2.892	0.262901
2.895	0.259701
2.898	0.256485
2.901	0.253255
2.904	0.25001
2.907	0.246751
2.91	0.243478
2.913	0.240191
2.916	0.23689
2.919	0.233577
2.922	0.230251
2.925	0.226912
2.928	0.223562
2.931	0.220199
2.934	0.216826
2.937	0.213441
2.94	0.210046
2.943	0.20664
2.946	0.203225
2.949	0.1998
2.952	0.196367
2.955	0.192925
2.958	0.189475
2.961	0.186017
2.964	0.182552
2.967	0.179081
2.97	0.175603
2.973	0.172119
2.976	0.16863
2.979	0.165136
2.982	0.161638
