 x  	 F(x)  
0	0.0128966
0.003	0.0144136
0.006	0.0159374
0.009	0.017468
0.012	0.0190055
0.015	0.02055
0.018	0.0221014
0.021	0.0236599
0.024	0.0252256
0.027	0.0267985
0.03	0.0283786
0.033	0.0299661
0.036	0.0315609
0.039	0.0331633
0.042	0.0347731
0.045	0.0363906
0.048	0.0380157
0.051	0.0396485
0.054	0.0412891
0.057	0.0429376
0.06	0.044594
0.063	0.0462584
0.066	0.0479308
0.069	0.0496114
0.072	0.0513001
0.075	0.0529971
0.078	0.0547024
0.081	0.0564161
0.084	0.0581382
0.087	0.0598689
0.09	0.0616081
0.093	0.063356
0.096	0.0651126
0.099	0.066878
0.102	0.0686522
0.105	0.0704353
0.108	0.0722275
0.111	0.0740287
0.114	0.075839
0.117	0.0776585
0.12	0.0794873
0.123	0.0813254
0.126	0.0831728
0.129	0.0850298
0.132	0.0868963
0.135	0.0887723
0.138	0.0906581
0.141	0.0925535
0.144	0.0944588
0.147	0.0963739
0.15	0.098299
0.153	0.100234
0.156	0.102179
0.159	0.104135
0.162	0.1061
0.165	0.108076
0.168	0.110062
0.171	0.112059
0.174	0.114066
0.177	0.116083
0.18	0.118111
0.183	0.12015
0.186	0.1222
0.189	0.12426
0.192	0.126332
0.195	0.128414
0.198	0.130507
0.201	0.132612
0.204	0.134727
0.207	0.136854
0.21	0.138992
0.213	0.141141
0.216	0.143302
0.219	0.145474
0.222	0.147658
0.225	0.149854
0.228	0.152061
0.231	0.15428
0.234	0.15651
0.237	0.158753
0.24	0.161007
0.243	0.163274
0.246	0.165552
0.249	0.167843
0.252	0.170146
0.255	0.172461
0.258	0.174788
0.261	0.177128
0.264	0.17948
0.267	0.181844
0.27	0.184222
0.273	0.186611
0.276	0.189014
0.279	0.191429
0.282	0.193857
0.285	0.196297
0.288	0.198751
0.291	0.201217
0.294	0.203697
0.297	0.206189
0.3	0.208695
0.303	0.211213
0.306	0.213745
0.309	0.21629
0.312	0.218848
0.315	0.22142
0.318	0.224005
0.321	0.226603
0.324	0.229215
0.327	0.231841
0.33	0.23448
0.333	0.237132
0.336	0.239798
0.339	0.242478
0.342	0.245171
0.345	0.247878
0.348	0.250599
0.351	0.253334
0.354	0.256083
0.357	0.258845
0.36	0.261621
0.363	0.264411
0.366	0.267215
0.369	0.270033
0.372	0.272865
0.375	0.275711
0.378	0.278571
0.381	0.281445
0.384	0.284334
0.387	0.287236
0.39	0.290152
0.393	0.293082
0.396	0.296026
0.399	0.298985
0.402	0.301957
0.405	0.304944
0.408	0.307945
0.411	0.310959
0.414	0.313988
0.417	0.317031
0.42	0.320088
0.423	0.323159
0.426	0.326244
0.429	0.329343
0.432	0.332457
0.435	0.335584
0.438	0.338725
0.441	0.34188
0.444	0.345048
0.447	0.348231
0.45	0.351427
0.453	0.354638
0.456	0.357862
0.459	0.361099
0.462	0.364351
0.465	0.367616
0.468	0.370894
0.471	0.374186
0.474	0.377492
0.477	0.38081
0.48	0.384142
0.483	0.387488
0.486	0.390846
0.489	0.394218
0.492	0.397602
0.495	0.401
0.498	0.40441
0.501	0.407833
0.504	0.411268
0.507	0.414717
0.51	0.418177
0.513	0.42165
0.516	0.425135
0.519	0.428632
0.522	0.432142
0.525	0.435663
0.528	0.439196
0.531	0.44274
0.534	0.446296
0.537	0.449863
0.54	0.453442
0.543	0.457031
0.546	0.460632
0.549	0.464243
0.552	0.467865
0.555	0.471497
0.558	0.475139
0.561	0.478792
0.564	0.482454
0.567	0.486126
0.57	0.489808
0.573	0.493499
0.576	0.497199
0.579	0.500908
0.582	0.504626
0.585	0.508353
0.588	0.512087
0.591	0.51583
0.594	0.519581
0.597	0.523339
0.6	0.527105
0.603	0.530878
0.606	0.534658
0.609	0.538445
0.612	0.542238
0.615	0.546038
0.618	0.549843
0.621	0.553654
0.624	0.55747
0.627	0.561292
0.63	0.565118
0.633	0.568949
0.636	0.572784
0.639	0.576623
0.642	0.580466
0.645	0.584312
0.648	0.588162
0.651	0.592014
0.654	0.595868
0.657	0.599725
0.66	0.603584
0.663	0.607444
0.666	0.611305
0.669	0.615167
0.672	0.619029
0.675	0.622892
0.678	0.626754
0.681	0.630616
0.684	0.634477
0.687	0.638337
0.69	0.642195
0.693	0.646051
0.696	0.649904
0.699	0.653755
0.702	0.657603
0.705	0.661447
0.708	0.665287
0.711	0.669123
0.714	0.672955
0.717	0.676781
0.72	0.680602
0.723	0.684416
0.726	0.688225
0.729	0.692027
0.732	0.695822
0.735	0.699609
0.738	0.703389
0.741	0.70716
0.744	0.710922
0.747	0.714676
0.75	0.718419
0.753	0.722153
0.756	0.725877
0.759	0.729589
0.762	0.73329
0.765	0.73698
0.768	0.740658
0.771	0.744323
0.774	0.747975
0.777	0.751614
0.78	0.755239
0.783	0.75885
0.786	0.762446
0.789	0.766027
0.792	0.769593
0.795	0.773143
0.798	0.776676
0.801	0.780193
0.804	0.783692
0.807	0.787175
0.81	0.790639
0.813	0.794084
0.816	0.797511
0.819	0.800919
0.822	0.804307
0.825	0.807675
0.828	0.811023
0.831	0.81435
0.834	0.817655
0.837	0.820939
0.84	0.824201
0.843	0.827441
0.846	0.830658
0.849	0.833852
0.852	0.837022
0.855	0.840169
0.858	0.843291
0.861	0.846389
0.864	0.849462
0.867	0.85251
0.87	0.855532
0.873	0.858528
0.876	0.861497
0.879	0.864441
0.882	0.867357
0.885	0.870246
0.888	0.873108
0.891	0.875941
0.894	0.878747
0.897	0.881524
0.9	0.884273
0.903	0.886992
0.906	0.889683
0.909	0.892343
0.912	0.894974
0.915	0.897576
0.918	0.900147
0.921	0.902687
0.924	0.905197
0.927	0.907676
0.93	0.910124
0.933	0.912541
0.936	0.914926
0.939	0.917279
0.942	0.919601
0.945	0.921891
0.948	0.924148
0.951	0.926374
0.954	0.928567
0.957	0.930727
0.96	0.932855
0.963	0.93495
0.966	0.937012
0.969	0.939041
0.972	0.941037
0.975	0.943
0.978	0.94493
0.981	0.946826
0.984	0.948689
0.987	0.950519
0.99	0.952315
0.993	0.954078
0.996	0.955808
0.999	0.957504
