 x 	V[Y|X = x] 
0	0.471838
0.003	0.472967
0.006	0.474096
0.009	0.475225
0.012	0.476353
0.015	0.477482
0.018	0.478609
0.021	0.479737
0.024	0.480864
0.027	0.48199
0.03	0.483115
0.033	0.48424
0.036	0.485364
0.039	0.486488
0.042	0.48761
0.045	0.488732
0.048	0.489852
0.051	0.490971
0.054	0.49209
0.057	0.493207
0.06	0.494322
0.063	0.495437
0.066	0.49655
0.069	0.497661
0.072	0.498771
0.075	0.49988
0.078	0.500987
0.081	0.502092
0.084	0.503195
0.087	0.504297
0.09	0.505396
0.093	0.506494
0.096	0.507589
0.099	0.508683
0.102	0.509774
0.105	0.510863
0.108	0.51195
0.111	0.513035
0.114	0.514117
0.117	0.515197
0.12	0.516274
0.123	0.517349
0.126	0.518421
0.129	0.51949
0.132	0.520557
0.135	0.521621
0.138	0.522682
0.141	0.52374
0.144	0.524795
0.147	0.525847
0.15	0.526896
0.153	0.527942
0.156	0.528984
0.159	0.530023
0.162	0.531059
0.165	0.532092
0.168	0.533121
0.171	0.534147
0.174	0.535169
0.177	0.536188
0.18	0.537203
0.183	0.538214
0.186	0.539221
0.189	0.540225
0.192	0.541225
0.195	0.54222
0.198	0.543212
0.201	0.5442
0.204	0.545184
0.207	0.546164
0.21	0.547139
0.213	0.54811
0.216	0.549077
0.219	0.55004
0.222	0.550998
0.225	0.551952
0.228	0.552902
0.231	0.553847
0.234	0.554787
0.237	0.555723
0.24	0.556654
0.243	0.557581
0.246	0.558503
0.249	0.55942
0.252	0.560332
0.255	0.561239
0.258	0.562141
0.261	0.563039
0.264	0.563931
0.267	0.564819
0.27	0.565701
0.273	0.566578
0.276	0.56745
0.279	0.568317
0.282	0.569179
0.285	0.570036
0.288	0.570887
0.291	0.571732
0.294	0.572573
0.297	0.573408
0.3	0.574237
0.303	0.575062
0.306	0.57588
0.309	0.576693
0.312	0.577501
0.315	0.578302
0.318	0.579099
0.321	0.579889
0.324	0.580674
0.327	0.581453
0.33	0.582226
0.333	0.582994
0.336	0.583755
0.339	0.584511
0.342	0.585261
0.345	0.586005
0.348	0.586743
0.351	0.587475
0.354	0.588201
0.357	0.588921
0.36	0.589635
0.363	0.590343
0.366	0.591044
0.369	0.59174
