 x  	 F(x)  
0	0.100104
0.003	0.101738
0.006	0.103383
0.009	0.10504
0.012	0.106709
0.015	0.10839
0.018	0.110082
0.021	0.111785
0.024	0.1135
0.027	0.115225
0.03	0.116961
0.033	0.118708
0.036	0.120465
0.039	0.122233
0.042	0.12401
0.045	0.125798
0.048	0.127595
0.051	0.129402
0.054	0.131218
0.057	0.133044
0.06	0.134878
0.063	0.136721
0.066	0.138573
0.069	0.140433
0.072	0.142302
0.075	0.144179
0.078	0.146063
0.081	0.147956
0.084	0.149856
0.087	0.151763
0.09	0.153678
0.093	0.155599
0.096	0.157528
0.099	0.159463
0.102	0.161405
0.105	0.163353
0.108	0.165307
0.111	0.167268
0.114	0.169234
0.117	0.171206
0.12	0.173184
0.123	0.175167
0.126	0.177155
0.129	0.179148
0.132	0.181147
0.135	0.18315
0.138	0.185158
0.141	0.18717
0.144	0.189187
0.147	0.191208
0.15	0.193234
0.153	0.195264
0.156	0.197297
0.159	0.199335
0.162	0.201376
0.165	0.203421
0.168	0.205469
0.171	0.207522
0.174	0.209577
0.177	0.211636
0.18	0.213698
0.183	0.215763
0.186	0.217832
0.189	0.219903
0.192	0.221978
0.195	0.224055
0.198	0.226136
0.201	0.228219
0.204	0.230305
0.207	0.232394
0.21	0.234486
0.213	0.23658
0.216	0.238677
0.219	0.240777
0.222	0.24288
0.225	0.244985
0.228	0.247094
0.231	0.249204
0.234	0.251318
0.237	0.253434
0.24	0.255554
0.243	0.257676
0.246	0.2598
0.249	0.261928
0.252	0.264058
0.255	0.266192
0.258	0.268328
0.261	0.270468
0.264	0.27261
0.267	0.274756
0.27	0.276905
0.273	0.279057
0.276	0.281212
0.279	0.283371
0.282	0.285533
0.285	0.287698
0.288	0.289868
0.291	0.292041
0.294	0.294217
0.297	0.296398
0.3	0.298582
0.303	0.300771
0.306	0.302964
0.309	0.30516
0.312	0.307361
0.315	0.309567
0.318	0.311777
0.321	0.313991
0.324	0.316211
0.327	0.318435
0.33	0.320663
0.333	0.322897
0.336	0.325136
0.339	0.32738
0.342	0.32963
0.345	0.331885
0.348	0.334145
0.351	0.336411
0.354	0.338683
0.357	0.34096
0.36	0.343243
0.363	0.345533
0.366	0.347828
0.369	0.35013
0.372	0.352438
0.375	0.354752
0.378	0.357073
0.381	0.359401
0.384	0.361735
0.387	0.364076
0.39	0.366423
0.393	0.368778
0.396	0.371139
0.399	0.373508
0.402	0.375884
0.405	0.378267
0.408	0.380657
0.411	0.383054
0.414	0.385459
0.417	0.387872
0.42	0.390292
0.423	0.392719
0.426	0.395154
0.429	0.397596
0.432	0.400046
0.435	0.402504
0.438	0.404969
0.441	0.407442
0.444	0.409923
0.447	0.412412
0.45	0.414908
0.453	0.417411
0.456	0.419923
0.459	0.422442
0.462	0.424968
0.465	0.427502
0.468	0.430044
0.471	0.432593
0.474	0.43515
0.477	0.437714
0.48	0.440285
0.483	0.442863
0.486	0.445448
0.489	0.448041
0.492	0.45064
0.495	0.453246
0.498	0.455859
0.501	0.458478
0.504	0.461104
0.507	0.463736
0.51	0.466374
0.513	0.469019
0.516	0.471669
0.519	0.474325
0.522	0.476986
0.525	0.479652
0.528	0.482324
0.531	0.485001
0.534	0.487682
0.537	0.490368
0.54	0.493059
0.543	0.495753
0.546	0.498451
0.549	0.501153
0.552	0.503859
0.555	0.506567
0.558	0.509279
0.561	0.511993
0.564	0.514709
0.567	0.517427
0.57	0.520148
0.573	0.522869
0.576	0.525592
0.579	0.528316
0.582	0.531041
0.585	0.533766
0.588	0.536491
0.591	0.539216
0.594	0.54194
0.597	0.544664
0.6	0.547386
0.603	0.550107
0.606	0.552826
0.609	0.555543
0.612	0.558257
0.615	0.560968
0.618	0.563677
0.621	0.566382
0.624	0.569083
0.627	0.57178
0.63	0.574473
0.633	0.577161
0.636	0.579844
0.639	0.582521
0.642	0.585193
0.645	0.587859
0.648	0.590518
0.651	0.593171
0.654	0.595816
0.657	0.598455
0.66	0.601085
