 x 	V[Y|X = x] 
0	0.0264652
0.003	0.0265755
0.006	0.0271812
0.009	0.0282037
0.012	0.0295302
0.015	0.0310182
0.018	0.0325071
0.021	0.0338335
0.024	0.034851
0.027	0.0354474
0.03	0.0355585
0.033	0.0351745
0.036	0.0343383
0.039	0.0331379
0.042	0.0316936
0.045	0.0301447
0.048	0.0286351
0.051	0.0273015
0.054	0.0262629
0.057	0.0256119
0.06	0.0254081
0.063	0.0256723
0.066	0.0263842
0.069	0.0274818
0.072	0.0288646
0.075	0.0304014
0.078	0.0319417
0.081	0.0333308
0.084	0.0344267
0.087	0.0351167
0.09	0.0353302
0.093	0.0350468
0.096	0.0342977
0.099	0.0331608
0.102	0.0317509
0.105	0.0302066
0.108	0.0286763
0.111	0.0273042
0.114	0.0262184
0.117	0.0255202
0.12	0.0252765
0.123	0.0255146
0.126	0.0262186
0.129	0.0273303
0.132	0.0287526
0.135	0.0303563
0.138	0.0319912
0.141	0.0334996
0.144	0.0347319
0.147	0.0355625
0.15	0.0359037
0.153	0.0357169
0.156	0.0350169
0.159	0.0338717
0.162	0.0323956
0.165	0.0307373
0.168	0.0290649
0.171	0.0275487
0.174	0.0263448
0.177	0.0255792
0.18	0.0253356
0.183	0.0256471
0.186	0.0264918
0.189	0.0277945
0.192	0.029433
0.195	0.03125
0.198	0.0330686
0.201	0.0347102
0.204	0.0360133
0.207	0.0368502
0.21	0.0371402
0.213	0.0368574
0.216	0.0360334
0.219	0.0347525
0.222	0.0331431
0.225	0.0313645
0.228	0.0295911
0.231	0.0279962
0.234	0.026736
0.237	0.0259352
0.24	0.0256751
0.243	0.0259864
0.246	0.0268448
0.249	0.0281731
0.252	0.0298468
0.255	0.0317062
0.258	0.0335713
0.261	0.0352601
0.264	0.0366068
0.267	0.0374795
0.27	0.0377938
0.273	0.0375212
0.276	0.0366921
0.279	0.0353919
0.282	0.0337519
0.285	0.0319359
0.288	0.0301235
0.291	0.0284931
0.294	0.0272058
0.297	0.0263906
0.3	0.0261335
0.303	0.026471
0.306	0.0273868
0.309	0.0288148
0.312	0.0306443
0.315	0.0327309
0.318	0.0349082
0.321	0.0370023
0.324	0.0388462
0.327	0.0402932
0.33	0.0412288
0.333	0.0415791
0.336	0.0413169
0.339	0.0404636
0.342	0.0390874
0.345	0.0372983
0.348	0.0352399
0.351	0.0330789
0.354	0.0309918
0.357	0.0291508
0.36	0.0277098
0.363	0.0267903
0.366	0.0264696
0.369	0.0267721
0.372	0.0276657
0.375	0.0290625
0.378	0.0308257
0.381	0.0327825
0.384	0.0347404
0.387	0.0365067
0.39	0.0379077
0.393	0.0388067
0.396	0.0391176
0.399	0.0388127
0.402	0.0379252
0.405	0.0365449
0.408	0.0348091
0.411	0.0328887
0.414	0.0309718
0.417	0.0292459
0.42	0.0278801
0.423	0.0270093
0.426	0.0267213
0.429	0.0270481
0.432	0.0279625
0.435	0.0293798
0.438	0.0311661
0.441	0.0331504
0.444	0.0351418
0.447	0.0369477
0.45	0.0383932
0.453	0.0393386
0.456	0.0396928
0.459	0.0394227
0.462	0.0385565
0.465	0.0371805
0.468	0.0354313
0.471	0.0334823
0.474	0.0315269
0.477	0.0297598
0.48	0.0283582
0.483	0.0274638
0.486	0.0271688
0.489	0.0275067
0.492	0.0284484
0.495	0.0299053
0.498	0.0317373
0.501	0.0337677
0.504	0.0358
0.507	0.037638
0.51	0.0391046
0.513	0.0400594
0.516	0.0404117
0.519	0.0401295
0.522	0.0392422
0.525	0.0378378
0.528	0.0360552
0.531	0.0340705
0.534	0.0320808
0.537	0.0302852
0.54	0.0288644
0.543	0.0279633
0.546	0.0276753
0.549	0.028032
0.552	0.0290004
0.555	0.0304849
0.558	0.0323383
0.561	0.0343765
0.564	0.0363985
0.567	0.0382066
0.57	0.0396269
0.573	0.0405257
0.576	0.0408224
0.579	0.0404957
0.582	0.0395848
0.585	0.0381847
0.588	0.036436
0.591	0.0345116
0.594	0.0326001
0.597	0.0308882
0.6	0.0295432
0.603	0.0286975
0.606	0.028436
0.609	0.0287877
0.612	0.029723
0.615	0.0311564
0.618	0.0329539
0.621	0.0349467
0.624	0.0369461
0.627	0.0387627
0.63	0.0402238
0.633	0.0411905
0.636	0.0415708
0.639	0.0413293
0.642	0.0404907
0.645	0.0391379
0.648	0.0374053
0.651	0.0354655
0.654	0.0335134
0.657	0.0317467
0.66	0.0303465
0.663	0.0294584
0.666	0.0291777
0.669	0.0295395
0.672	0.0305145
0.675	0.0320126
0.678	0.033892
0.681	0.0359735
0.684	0.0380587
0.687	0.0399495
0.69	0.0414671
0.693	0.042469
0.696	0.0428627
0.699	0.0426136
0.702	0.0417493
0.705	0.0403566
0.708	0.0385743
0.711	0.0365802
0.714	0.0345745
0.717	0.0327603
0.72	0.0313234
0.723	0.0304128
0.726	0.0301258
0.729	0.030497
0.732	0.0314948
0.735	0.033025
0.738	0.0349405
0.741	0.0370569
0.744	0.0391712
0.747	0.041082
0.75	0.0426091
0.753	0.0436102
0.756	0.0439942
0.759	0.0437291
0.762	0.0428454
0.765	0.0414326
0.768	0.0396319
0.771	0.0376229
0.774	0.035607
0.777	0.033788
0.78	0.032352
0.783	0.0314484
0.786	0.0311745
0.789	0.031565
0.792	0.0325882
0.795	0.0341496
0.798	0.0361014
0.801	0.0382581
0.804	0.0404148
0.807	0.0423681
0.81	0.043935
0.813	0.0449705
0.816	0.0453807
0.819	0.0451316
0.822	0.0442523
0.825	0.0428322
0.828	0.0410139
0.831	0.0389796
0.834	0.0369344
0.837	0.0350866
0.84	0.0336264
0.843	0.0327073
0.846	0.0324292
0.849	0.0328283
0.852	0.0338733
0.855	0.0354683
0.858	0.0374637
0.861	0.0396711
0.864	0.0418825
0.867	0.0438907
0.87	0.045509
0.873	0.0465885
0.876	0.0470316
0.879	0.0468012
0.882	0.0459246
0.885	0.044491
0.888	0.0426445
0.891	0.040571
0.894	0.0384809
0.897	0.0365886
0.9	0.0350907
0.903	0.034146
0.906	0.0338584
0.909	0.0342658
0.912	0.0353366
0.915	0.0369732
0.918	0.0390228
0.921	0.0412932
0.924	0.0435721
0.927	0.045648
0.93	0.0473293
0.933	0.0484621
0.936	0.0489437
0.939	0.0487326
0.942	0.0478525
0.945	0.0463915
0.948	0.0444956
0.951	0.0423563
0.954	0.040193
0.957	0.038232
0.96	0.0366834
0.963	0.0357197
0.966	0.0354573
0.969	0.0359452
0.972	0.0371606
0.975	0.0390134
0.978	0.0413569
0.981	0.0440039
0.984	0.046745
0.987	0.0493677
0.99	0.051673
0.993	0.0534903
0.996	0.0546882
0.999	0.0551829
1.002	0.0549431
1.005	0.0539916
1.008	0.0524046
1.011	0.0503079
1.014	0.047869
1.017	0.0452867
1.02	0.0427764
1.023	0.0405526
1.026	0.0388094
1.029	0.0377014
1.032	0.037327
1.035	0.037716
1.038	0.0388258
1.041	0.0405441
1.044	0.0427007
1.047	0.0450846
1.05	0.0474661
1.053	0.0496191
1.056	0.0513422
1.059	0.0524771
1.062	0.052922
1.065	0.0526397
1.068	0.0516612
1.071	0.0500831
1.074	0.0480599
1.077	0.0457914
1.08	0.0435049
1.083	0.0414334
1.086	0.0397928
1.089	0.0387583
1.092	0.038445
1.095	0.0388948
1.098	0.0400707
1.101	0.0418621
1.104	0.0440963
1.107	0.0465587
1.11	0.0490155
1.113	0.0512367
1.116	0.0530184
1.119	0.0542005
1.122	0.05468
1.125	0.0544193
1.128	0.0534493
1.131	0.0518672
1.134	0.0498294
1.137	0.0475382
1.14	0.045225
1.143	0.0431277
1.146	0.0414674
1.149	0.0404242
1.152	0.0401166
1.155	0.0405879
1.158	0.0418003
1.161	0.0436399
1.164	0.0459298
1.167	0.0484504
1.17	0.0509628
1.173	0.053233
1.176	0.0550542
1.179	0.0562642
1.182	0.0567591
1.185	0.0565011
1.188	0.0555215
1.191	0.0539186
1.194	0.0518506
1.197	0.0495227
1.2	0.04717
1.203	0.0450354
1.206	0.0433447
1.209	0.0422827
1.212	0.0419714
1.215	0.0424552
1.218	0.0436955
1.221	0.0455756
1.224	0.0479141
1.227	0.050486
1.23	0.0530476
1.233	0.0553609
1.236	0.0572158
1.239	0.0584485
1.242	0.0589543
1.245	0.0586951
1.248	0.0577028
1.251	0.0560767
1.254	0.0539766
1.257	0.0516106
1.26	0.0492174
1.263	0.0470445
1.266	0.0453227
1.269	0.0442415
1.272	0.0439263
1.275	0.0444231
1.278	0.0456925
1.281	0.0476147
1.284	0.0500036
1.287	0.0526291
1.29	0.0552424
1.293	0.057601
1.296	0.059492
1.299	0.0607495
1.302	0.0612675
1.305	0.0610075
1.308	0.0600011
1.311	0.0583481
1.314	0.0562096
1.317	0.053796
1.32	0.0513499
1.323	0.049124
1.326	0.0473556
1.329	0.0462402
1.332	0.0459082
1.335	0.0464084
1.338	0.047701
1.341	0.0496628
1.344	0.0521025
1.347	0.0547833
1.35	0.0574503
1.353	0.0598561
1.356	0.0617847
1.359	0.0630688
1.362	0.0636026
1.365	0.0633487
1.368	0.0623406
1.371	0.0606797
1.374	0.0585292
1.377	0.0561016
1.38	0.053642
1.383	0.0514057
