 x 	V[Y|X = x] 
0	0.0295362
0.003	0.0295872
0.006	0.0296442
0.009	0.0297062
0.012	0.0297714
0.015	0.0298372
0.018	0.0298999
0.021	0.0299555
0.024	0.0300003
0.027	0.0300309
0.03	0.0300456
0.033	0.0300446
0.036	0.0300301
0.039	0.0300058
0.042	0.0299765
0.045	0.0299473
0.048	0.0299227
0.051	0.0299067
0.054	0.029902
0.057	0.0299103
0.06	0.0299323
0.063	0.0299677
0.066	0.0300152
0.069	0.0300724
0.072	0.0301361
0.075	0.0302019
0.078	0.0302649
0.081	0.0303194
0.084	0.0303601
0.087	0.0303827
0.09	0.0303842
0.093	0.0303639
0.096	0.0303234
0.099	0.0302666
0.102	0.0301986
0.105	0.0301254
0.108	0.030053
0.111	0.0299867
0.114	0.0299305
0.117	0.0298875
0.12	0.0298593
0.123	0.0298464
0.126	0.0298484
0.129	0.0298638
0.132	0.0298902
0.135	0.0299245
0.138	0.029963
0.141	0.0300016
0.144	0.0300363
0.147	0.0300635
0.15	0.0300804
0.153	0.0300858
0.156	0.0300797
0.159	0.0300635
0.162	0.0300398
0.165	0.030012
0.168	0.0299835
0.171	0.029958
0.174	0.0299386
0.177	0.029928
0.18	0.029928
0.183	0.0299398
0.186	0.0299635
0.189	0.0299982
0.192	0.0300419
0.195	0.0300912
0.198	0.0301419
0.201	0.0301889
0.204	0.0302269
0.207	0.0302513
0.21	0.0302592
0.213	0.0302494
0.216	0.0302235
0.219	0.0301848
0.222	0.0301383
0.225	0.0300896
0.228	0.030044
0.231	0.0300063
0.234	0.0299803
0.237	0.0299683
0.24	0.0299718
0.243	0.0299908
0.246	0.0300243
0.249	0.0300702
0.252	0.0301251
0.255	0.0301845
0.258	0.0302428
0.261	0.030294
0.264	0.0303322
0.267	0.0303524
0.27	0.0303512
0.273	0.0303279
0.276	0.0302842
0.279	0.0302239
0.282	0.0301528
0.285	0.030077
0.288	0.0300026
0.291	0.029935
0.294	0.0298786
0.297	0.0298366
0.3	0.0298109
0.303	0.0298029
0.306	0.0298126
0.309	0.0298395
0.312	0.029882
0.315	0.029937
0.318	0.0300006
0.321	0.0300671
0.324	0.0301301
0.327	0.0301828
0.33	0.0302191
0.333	0.0302346
0.336	0.0302274
0.339	0.0301988
0.342	0.0301525
0.345	0.0300942
0.348	0.0300302
0.351	0.0299668
0.354	0.0299091
0.357	0.0298614
0.36	0.0298264
0.363	0.0298058
0.366	0.0298003
0.369	0.0298097
0.372	0.029833
0.375	0.0298685
0.378	0.0299134
0.381	0.029964
0.384	0.030016
0.387	0.0300642
0.39	0.0301036
0.393	0.0301297
0.396	0.0301396
0.399	0.0301321
0.402	0.0301083
0.405	0.0300714
0.408	0.0300259
0.411	0.0299769
0.414	0.0299295
0.417	0.0298883
0.42	0.0298567
0.423	0.0298372
0.426	0.0298313
0.429	0.0298393
0.432	0.0298606
0.435	0.0298938
0.438	0.0299361
0.441	0.0299841
0.444	0.0300333
0.447	0.0300788
0.45	0.0301156
0.453	0.0301393
0.456	0.030147
0.459	0.0301372
0.462	0.0301109
0.465	0.0300707
0.468	0.0300206
0.471	0.0299654
0.474	0.0299099
0.477	0.0298584
0.48	0.0298145
0.483	0.0297809
0.486	0.0297591
0.489	0.0297501
0.492	0.0297537
0.495	0.0297688
0.498	0.0297936
0.501	0.0298252
0.504	0.0298599
0.507	0.0298935
0.51	0.0299217
0.513	0.0299407
0.516	0.029948
0.519	0.0299429
0.522	0.0299261
0.525	0.0299002
0.528	0.0298688
0.531	0.0298357
0.534	0.0298048
0.537	0.0297794
0.54	0.029762
0.543	0.0297543
0.546	0.0297571
0.549	0.0297706
0.552	0.029794
0.555	0.0298258
0.558	0.0298634
0.561	0.0299035
