 x  	 F(x)  
0	-0.00336917
0.003	-0.00205441
0.006	0.000107162
0.009	0.00342701
0.012	0.00789941
0.015	0.0131792
0.018	0.0186566
0.021	0.0237128
0.024	0.0279529
0.027	0.0312624
0.03	0.0336895
0.033	0.0344177
0.036	0.0356364
0.039	0.0374189
0.042	0.0397444
0.045	0.0424791
0.048	0.0454095
0.051	0.0483123
0.054	0.051018
0.057	0.0534356
0.06	0.0555429
0.063	0.0569205
0.066	0.0586503
0.069	0.0612065
0.072	0.0647177
0.075	0.0691739
0.078	0.0743674
0.081	0.0799095
0.084	0.0853372
0.087	0.0902552
0.09	0.0944229
0.093	0.0939455
0.096	0.0939847
0.099	0.094843
0.102	0.0967977
0.105	0.0999468
0.108	0.104073
0.111	0.108664
0.114	0.113133
0.117	0.117045
0.12	0.120212
0.123	0.119716
0.126	0.119171
0.129	0.119068
0.132	0.119576
0.135	0.120745
0.138	0.12247
0.141	0.124527
0.144	0.126674
0.147	0.12873
0.15	0.130597
0.153	0.130883
0.156	0.131624
0.159	0.133375
0.162	0.136593
0.165	0.141599
0.168	0.148295
0.171	0.155982
0.174	0.163581
0.177	0.170155
0.18	0.17526
0.183	0.175549
0.186	0.175735
0.189	0.177102
0.192	0.179865
0.195	0.183797
0.198	0.188282
0.201	0.192642
0.204	0.196434
0.207	0.199506
0.21	0.2018
0.213	0.202553
0.216	0.20399
0.219	0.2063
0.222	0.209542
0.225	0.213554
0.228	0.217955
0.231	0.222283
0.234	0.226158
0.237	0.229386
0.24	0.231807
0.243	0.232845
0.246	0.234611
0.249	0.237244
0.252	0.240738
0.255	0.244877
0.258	0.249279
0.261	0.253523
0.264	0.257294
0.267	0.260441
0.27	0.262822
0.273	0.263895
0.276	0.265602
0.279	0.268062
0.282	0.271284
0.285	0.275115
0.288	0.279257
0.291	0.283354
0.294	0.287104
0.297	0.29033
0.3	0.292924
0.303	0.293576
0.306	0.294769
0.309	0.296648
0.312	0.29928
0.315	0.302586
0.318	0.306325
0.321	0.310157
0.324	0.313759
0.327	0.316912
0.33	0.31952
0.333	0.320155
0.336	0.321398
0.339	0.323423
0.342	0.326307
0.345	0.329946
0.348	0.33403
0.351	0.338138
0.354	0.341893
0.357	0.345067
0.36	0.347528
0.363	0.348552
0.366	0.350249
0.369	0.352732
0.372	0.355987
0.375	0.359826
0.378	0.363918
0.381	0.367904
0.384	0.371503
0.387	0.374573
0.39	0.377089
0.393	0.378149
0.396	0.379752
0.399	0.382108
0.402	0.385281
0.405	0.389185
0.408	0.393562
0.411	0.398038
0.414	0.40225
0.417	0.405939
0.42	0.408994
0.423	0.409553
0.426	0.410259
0.429	0.411607
0.432	0.413699
0.435	0.416495
0.438	0.419777
0.441	0.423205
0.444	0.426445
0.447	0.429272
0.45	0.431591
0.453	0.432497
0.456	0.434014
0.459	0.436317
0.462	0.439429
0.465	0.443188
0.468	0.447266
0.471	0.451274
0.474	0.454893
0.477	0.457951
0.48	0.460403
0.483	0.461054
0.486	0.46219
0.489	0.463924
0.492	0.466292
0.495	0.469205
0.498	0.472449
0.501	0.475744
0.504	0.478832
0.507	0.481548
0.51	0.483824
0.513	0.484719
0.516	0.486032
0.519	0.488062
0.522	0.490891
0.525	0.494457
0.528	0.498528
0.531	0.502747
0.534	0.506756
0.537	0.510297
0.54	0.513256
0.543	0.51421
0.546	0.515399
0.549	0.517465
0.552	0.520574
0.555	0.524686
0.558	0.52947
0.561	0.534387
0.564	0.538902
0.567	0.542675
0.57	0.545484
0.573	0.545912
0.576	0.546909
0.579	0.548592
0.582	0.55095
0.585	0.553797
0.588	0.55683
0.591	0.559742
0.594	0.562325
