 x  	 F(x)  
0	0.00110003
0.003	0.00405153
0.006	0.0070034
0.009	0.00995562
0.012	0.0129082
0.015	0.0158611
0.018	0.0188144
0.021	0.0217681
0.024	0.0247221
0.027	0.0276764
0.03	0.0306873
0.033	0.032727
0.036	0.034723
0.039	0.0367221
0.042	0.0387243
0.045	0.0407295
0.048	0.0427379
0.051	0.0447493
0.054	0.0467639
0.057	0.0487815
0.06	0.0508023
0.063	0.0579198
0.066	0.0651766
0.069	0.07242
0.072	0.07965
0.075	0.0868666
0.078	0.0940698
0.081	0.10126
0.084	0.108436
0.087	0.1156
0.09	0.122736
0.093	0.123819
0.096	0.123453
0.099	0.123086
0.102	0.12272
0.105	0.122353
0.108	0.121987
0.111	0.12162
0.114	0.121253
0.117	0.120886
0.12	0.120564
0.123	0.122889
0.126	0.125242
0.129	0.127595
0.132	0.12995
0.135	0.132307
0.138	0.134664
0.141	0.137023
0.144	0.139383
0.147	0.141745
0.15	0.144107
0.153	0.147274
0.156	0.150729
0.159	0.154178
0.162	0.157621
0.165	0.161058
0.168	0.164489
0.171	0.167915
0.174	0.171335
0.177	0.174749
0.18	0.178292
0.183	0.181312
0.186	0.183915
0.189	0.18652
0.192	0.189129
0.195	0.19174
0.198	0.194354
0.201	0.196971
0.204	0.199591
0.207	0.202213
0.21	0.204962
0.213	0.207746
0.216	0.210335
0.219	0.212924
0.222	0.215512
0.225	0.2181
0.228	0.220688
0.231	0.223276
0.234	0.225863
0.237	0.22845
0.24	0.231243
0.243	0.234547
0.246	0.237763
0.249	0.24098
0.252	0.244198
0.255	0.247417
0.258	0.250636
0.261	0.253856
0.264	0.257077
0.267	0.260299
0.27	0.263672
0.273	0.266948
0.276	0.270139
0.279	0.273331
0.282	0.276523
0.285	0.279715
0.288	0.282908
0.291	0.286101
0.294	0.289294
0.297	0.292487
0.3	0.295777
0.303	0.299298
0.306	0.302704
0.309	0.306109
0.312	0.309514
0.315	0.312917
0.318	0.31632
0.321	0.319722
0.324	0.323124
0.327	0.326524
0.33	0.329975
0.333	0.332129
0.336	0.334074
0.339	0.33602
0.342	0.337965
0.345	0.33991
0.348	0.341854
0.351	0.343798
0.354	0.345742
0.357	0.347685
0.36	0.349759
0.363	0.35282
0.366	0.355773
0.369	0.358729
0.372	0.361686
0.375	0.364645
0.378	0.367606
0.381	0.370569
0.384	0.373533
0.387	0.3765
0.39	0.379531
0.393	0.383813
0.396	0.387971
0.399	0.392126
0.402	0.396279
0.405	0.40043
0.408	0.404579
0.411	0.408726
0.414	0.412871
0.417	0.417013
0.42	0.421196
0.423	0.422877
0.426	0.424199
0.429	0.425521
0.432	0.426844
0.435	0.428166
0.438	0.429488
0.441	0.430811
0.444	0.432133
0.447	0.433456
0.45	0.434909
0.453	0.437921
0.456	0.44085
0.459	0.44378
0.462	0.446709
0.465	0.44964
0.468	0.45257
0.471	0.455501
0.474	0.458433
0.477	0.461365
0.48	0.464379
0.483	0.466911
0.486	0.4693
0.489	0.471688
0.492	0.474077
0.495	0.476466
0.498	0.478856
0.501	0.481246
0.504	0.483637
0.507	0.486028
0.51	0.48847
0.513	0.492161
0.516	0.49573
0.519	0.499298
0.522	0.502864
0.525	0.506429
0.528	0.509993
0.531	0.513555
0.534	0.517116
0.537	0.520675
0.54	0.524305
0.543	0.526144
0.546	0.527704
0.549	0.529263
0.552	0.530821
0.555	0.53238
0.558	0.533938
0.561	0.535496
0.564	0.537054
0.567	0.538611
0.57	0.540429
0.573	0.543045
0.576	0.54557
0.579	0.548096
0.582	0.550625
0.585	0.553155
0.588	0.555687
0.591	0.558221
0.594	0.560757
0.597	0.563295
0.6	0.565915
0.603	0.567561
0.606	0.569179
0.609	0.570797
0.612	0.572414
0.615	0.574031
0.618	0.575647
0.621	0.577262
0.624	0.578877
0.627	0.580491
0.63	0.582279
0.633	0.585397
0.636	0.588475
0.639	0.591552
0.642	0.59463
0.645	0.597708
0.648	0.600787
0.651	0.603866
0.654	0.606945
0.657	0.610024
0.66	0.613211
0.663	0.615518
0.666	0.617699
0.669	0.619881
0.672	0.622062
0.675	0.624243
0.678	0.626423
0.681	0.628603
0.684	0.630782
0.687	0.632962
0.69	0.635238
0.693	0.637163
0.696	0.638991
