 x  	 F(x)  
0	0.0155124
0.003	0.0160133
0.006	0.0166131
0.009	0.0173141
0.012	0.0181184
0.015	0.0190282
0.018	0.0200454
0.021	0.021172
0.024	0.0224097
0.027	0.0237601
0.03	0.0252248
0.033	0.026805
0.036	0.0285019
0.039	0.0303164
0.042	0.0322493
0.045	0.0343011
0.048	0.0364719
0.051	0.0387618
0.054	0.0411705
0.057	0.0436974
0.06	0.0463415
0.063	0.0491016
0.066	0.0519762
0.069	0.0549632
0.072	0.0580604
0.075	0.0612651
0.078	0.0645742
0.081	0.0679841
0.084	0.0714911
0.087	0.0750908
0.09	0.0787785
0.093	0.082549
0.096	0.086397
0.099	0.0903164
0.102	0.0943011
0.105	0.0983442
0.108	0.102439
0.111	0.106578
0.114	0.110753
0.117	0.114958
0.12	0.119183
0.123	0.12342
0.126	0.127661
0.129	0.131897
0.132	0.13612
0.135	0.140321
0.138	0.144491
0.141	0.148622
0.144	0.152706
0.147	0.156734
0.15	0.160698
0.153	0.164592
0.156	0.168407
0.159	0.172137
0.162	0.175777
0.165	0.179319
0.168	0.18276
0.171	0.186094
0.174	0.189318
0.177	0.192429
0.18	0.195424
0.183	0.198303
0.186	0.201063
0.189	0.203706
0.192	0.206231
0.195	0.208641
0.198	0.210938
0.201	0.213125
0.204	0.215206
0.207	0.217186
0.21	0.219069
0.213	0.220863
0.216	0.222573
0.219	0.224207
0.222	0.225773
0.225	0.227277
0.228	0.22873
0.231	0.23014
0.234	0.231517
0.237	0.232868
0.24	0.234205
0.243	0.235536
0.246	0.236872
0.249	0.238221
0.252	0.239594
0.255	0.240999
0.258	0.242445
0.261	0.243942
0.264	0.245498
0.267	0.24712
0.27	0.248817
0.273	0.250595
0.276	0.252462
0.279	0.254422
0.282	0.256481
0.285	0.258645
0.288	0.260917
0.291	0.2633
0.294	0.265798
0.297	0.268413
0.3	0.271145
0.303	0.273996
0.306	0.276966
0.309	0.280053
0.312	0.283257
0.315	0.286575
0.318	0.290005
0.321	0.293543
0.324	0.297185
0.327	0.300927
0.33	0.304763
0.333	0.308689
0.336	0.312697
0.339	0.316782
0.342	0.320936
0.345	0.325153
0.348	0.329424
0.351	0.333742
0.354	0.338098
0.357	0.342485
0.36	0.346894
0.363	0.351316
0.366	0.355743
0.369	0.360167
0.372	0.364578
0.375	0.368968
0.378	0.37333
0.381	0.377655
0.384	0.381935
0.387	0.386162
0.39	0.39033
0.393	0.394431
0.396	0.398458
0.399	0.402406
0.402	0.406268
0.405	0.41004
0.408	0.413715
0.411	0.417291
0.414	0.420763
0.417	0.424127
0.42	0.427382
0.423	0.430525
0.426	0.433554
0.429	0.436468
0.432	0.439267
0.435	0.441951
0.438	0.444522
0.441	0.446979
0.444	0.449326
0.447	0.451565
0.45	0.453698
0.453	0.45573
0.456	0.457665
0.459	0.459507
0.462	0.461262
0.465	0.462934
0.468	0.464531
0.471	0.466059
0.474	0.467523
0.477	0.468933
0.48	0.470293
0.483	0.471613
0.486	0.472901
0.489	0.474163
0.492	0.475408
0.495	0.476643
0.498	0.477878
0.501	0.47912
0.504	0.480377
0.507	0.481657
0.51	0.482967
0.513	0.484314
0.516	0.485706
0.519	0.487149
0.522	0.488649
0.525	0.490213
0.528	0.491846
0.531	0.493553
0.534	0.495338
0.537	0.497206
0.54	0.499159
0.543	0.501201
0.546	0.503334
0.549	0.505559
0.552	0.507878
0.555	0.510291
0.558	0.512797
0.561	0.515397
0.564	0.518089
0.567	0.520871
0.57	0.523741
0.573	0.526696
