 x 	V[Y|X = x] 
0	6.41391
0.003	6.4188
0.006	6.42368
0.009	6.42854
0.012	6.43339
0.015	6.43822
0.018	6.44405
0.021	6.45001
0.024	6.45597
0.027	6.46191
0.03	6.46784
0.033	6.47375
0.036	6.47965
0.039	6.48554
0.042	6.49142
0.045	6.49728
0.048	6.50314
0.051	6.50898
0.054	6.51481
0.057	6.52063
0.06	6.52643
0.063	6.53223
0.066	6.53802
0.069	6.54379
0.072	6.54955
0.075	6.55531
0.078	6.56105
0.081	6.56678
0.084	6.5725
0.087	6.57821
0.09	6.58391
0.093	6.5896
0.096	6.59528
0.099	6.60095
0.102	6.60661
0.105	6.61226
0.108	6.6179
0.111	6.62352
0.114	6.62914
0.117	6.63475
0.12	6.64034
0.123	6.64592
0.126	6.6515
0.129	6.65706
0.132	6.66261
0.135	6.66815
0.138	6.67368
0.141	6.67919
0.144	6.6847
0.147	6.69019
0.15	6.69567
0.153	6.70114
0.156	6.70659
0.159	6.71203
0.162	6.71746
0.165	6.72288
0.168	6.72828
0.171	6.73366
0.174	6.73904
0.177	6.74439
0.18	6.74974
0.183	6.75506
0.186	6.76037
0.189	6.76567
0.192	6.77094
0.195	6.77621
0.198	6.78145
0.201	6.78667
0.204	6.79245
0.207	6.79888
0.21	6.8053
0.213	6.81171
0.216	6.81809
0.219	6.82447
0.222	6.83082
0.225	6.83717
0.228	6.84349
0.231	6.84981
0.234	6.85611
0.237	6.86239
0.24	6.86866
0.243	6.87492
0.246	6.88117
0.249	6.8874
0.252	6.89362
0.255	6.89983
0.258	6.90602
0.261	6.9122
0.264	6.91837
0.267	6.92453
0.27	6.93068
0.273	6.93681
0.276	6.94294
0.279	6.94905
0.282	6.95515
0.285	6.96124
0.288	6.96731
0.291	6.97338
0.294	6.97943
0.297	6.98547
0.3	6.9915
0.303	6.99752
0.306	7.00353
0.309	7.00952
0.312	7.01551
0.315	7.02148
0.318	7.02744
0.321	7.03339
0.324	7.03932
0.327	7.04524
0.33	7.05115
0.333	7.05705
0.336	7.06293
0.339	7.0688
0.342	7.07466
0.345	7.0805
0.348	7.08633
0.351	7.09214
0.354	7.09794
0.357	7.10373
0.36	7.1095
0.363	7.11525
0.366	7.12099
0.369	7.12671
0.372	7.13241
0.375	7.1381
0.378	7.14376
0.381	7.14941
0.384	7.15504
0.387	7.16065
0.39	7.16624
0.393	7.17181
0.396	7.17736
0.399	7.18289
0.402	7.18839
0.405	7.19388
0.408	7.19933
0.411	7.20476
0.414	7.21087
0.417	7.21776
0.42	7.22464
